Sample	 
34.06	600
34.08	600
34.1	300
34.12	450
34.14	525
34.16	600
34.18	525
34.2	450
34.22	525
34.24	225
34.26	675
34.28	450
34.3	525
34.32	750
34.34	375
34.36	375
34.38	300
34.4	750
34.42	750
34.44	375
34.46	225
34.48	450
34.5	225
34.52	375
34.54	675
34.56	750
34.58	525
34.6	525
34.62	675
34.64	375
34.66	600
34.68	225
34.7	675
34.72	525
34.74	525
34.76	300
34.78	525
34.8	450
34.82	450
34.84	600
34.86	525
34.88	825
34.9	525
34.92	525
34.94	675
34.96	600
34.98	1125
35	1350
35.02	600
35.04	750
35.06	675
35.08	450
35.1	750
35.12	750
35.14	675
35.16	900
35.18	450
35.2	675
35.22	900
35.24	1650
35.26	1125
35.28	2025
35.3	1800
35.32	2475
35.34	3525
35.36	3375
35.38	3300
35.4	3525
35.42	3975
35.44	4050
35.46	4650
35.48	2850
35.5	3525
35.52	2850
35.54	2475
35.56	2700
35.58	1650
35.6	2175
35.62	450
35.64	750
35.66	750
35.68	750
35.7	1275
35.72	1275
35.74	1125
35.76	1125
35.78	1050
35.8	1050
35.82	900
35.84	750
35.86	675
35.88	825
35.9	600
35.92	450
35.94	450
35.96	225
35.98	450
36	450
36.02	525
36.04	750
36.06	450
36.08	450
36.1	750
36.12	375
36.14	675
36.16	525
36.18	225
36.2	300
36.22	150
36.24	300
36.26	525
36.28	225
36.3	375
36.32	300
36.34	300
36.36	0
36.38	525
36.4	0
36.42	150
36.44	375
36.46	525
36.48	750
36.5	375
36.52	525
36.54	525
36.56	600
36.58	600
36.6	300
36.62	675
36.64	750
36.66	450
36.68	375
36.7	225
36.72	525
36.74	300
36.76	150
36.78	600
36.8	600
36.82	375
36.84	375
36.86	750
36.88	975
36.9	375
36.92	750
36.94	975
36.96	450
36.98	225
37	675
37.02	750
37.04	750
37.06	375
37.08	525
37.1	450
37.12	750
37.14	525
37.16	825
37.18	525
37.2	525
37.22	600
37.24	675
37.26	525
37.28	600
37.3	375
37.32	450
37.34	300
37.36	600
37.38	525
37.4	450
37.42	750
37.44	600
37.46	375
37.48	750
37.5	825
37.52	450
37.54	450
37.56	375
37.58	600
37.6	150
37.62	300
37.64	375
37.66	525
37.68	975
37.7	675
37.72	450
37.74	150
37.76	375
37.78	750
37.8	450
37.82	300
37.84	675
37.86	225
37.88	450
37.9	75
37.92	225
37.94	150
37.96	375
37.98	300
38	1125
38.02	300
38.04	450
38.06	375
38.08	375
38.1	225
38.12	375
38.14	225
38.16	600
38.18	525
38.2	450
38.22	600
38.24	525
38.26	450
38.28	225
38.3	300
38.32	75
38.34	450
38.36	450
38.38	450
38.4	450
38.42	300
38.44	225
38.46	375
38.48	450
38.5	525
38.52	525
38.54	525
38.56	300
38.58	300
38.6	225
38.62	450
38.64	600
38.66	150
38.68	150
38.7	300
38.72	825
38.74	450
38.76	375
38.78	600
38.8	675
38.82	675
38.84	600
38.86	450
38.88	375
38.9	750
38.92	750
38.94	825
38.96	300
38.98	450
39	300
39.02	600
39.04	825
39.06	600
39.08	375
39.1	525
39.12	300
39.14	75
39.16	300
39.18	450
39.2	300
39.22	450
39.24	300
39.26	450
39.28	300
39.3	375
39.32	600
39.34	300
39.36	300
39.38	675
39.4	150
39.42	150
39.44	300
39.46	300
39.48	675
39.5	225
39.52	750
39.54	600
39.56	750
39.58	450
39.6	300
39.62	750
39.64	225
39.66	525
39.68	450
39.7	375
39.72	600
39.74	300
39.76	450
39.78	150
39.8	450
39.82	450
39.84	225
39.86	675
39.88	225
39.9	450
39.92	150
39.94	825
39.96	675
39.98	525
40	225
40.02	675
40.04	300
40.06	450
40.08	225
40.1	450
40.12	300
40.14	375
40.16	300
40.18	525
40.2	375
40.22	225
40.24	375
40.26	225
40.28	750
40.3	450
40.32	375
40.34	375
40.36	525
40.38	150
40.4	300
40.42	525
40.44	525
40.46	600
40.48	450
40.5	300
40.52	300
40.54	300
40.56	450
40.58	375
40.6	300
40.62	525
40.64	375
40.66	150
40.68	300
40.7	525
40.72	375
40.74	375
40.76	375
40.78	375
40.8	150
40.82	150
40.84	300
40.86	300
40.88	225
40.9	450
40.92	525
40.94	375
40.96	375
40.98	525
41	300
41.02	675
41.04	525
41.06	375
41.08	375
41.1	450
41.12	300
41.14	375
41.16	150
41.18	825
41.2	450
41.22	375
41.24	300
41.26	375
41.28	450
41.3	600
41.32	750
41.34	450
41.36	750
41.38	450
41.4	450
41.42	450
41.44	375
41.46	225
41.48	225
41.5	450
41.52	450
41.54	225
41.56	300
41.58	450
41.6	150
41.62	375
41.64	225
41.66	375
41.68	750
41.7	375
41.72	300
41.74	525
41.76	450
41.78	225
41.8	600
41.82	150
41.84	375
41.86	375
41.88	375
41.9	225
41.92	450
41.94	225
41.96	150
41.98	150
42	225
42.02	75
42.04	75
42.06	525
42.08	450
42.1	675
42.12	525
42.14	150
42.16	300
42.18	600
42.2	750
42.22	150
42.24	300
42.26	450
42.28	525
42.3	675
42.32	525
42.34	300
42.36	600
42.38	450
42.4	450
42.42	450
42.44	225
42.46	225
42.48	450
42.5	675
42.52	375
42.54	450
42.56	450
42.58	300
42.6	300
42.62	600
42.64	450
42.66	900
42.68	525
42.7	750
42.72	450
42.74	375
42.76	675
42.78	600
42.8	750
42.82	675
42.84	675
42.86	975
42.88	825
42.9	600
42.92	600
42.94	1125
42.96	1050
42.98	825
43	1350
43.02	825
43.04	1425
43.06	1275
43.08	1275
43.1	900
43.12	1200
43.14	975
43.16	1275
43.18	825
43.2	975
43.22	900
43.24	525
43.26	675
43.28	600
43.3	525
43.32	750
43.34	450
43.36	300
43.38	825
43.4	825
43.42	525
43.44	525
43.46	75
43.48	600
43.5	750
43.52	450
43.54	525
43.56	675
43.58	600
43.6	525
43.62	375
43.64	375
43.66	450
43.68	75
43.7	375
43.72	300
43.74	150
43.76	450
43.78	150
43.8	225
43.82	375
43.84	450
43.86	825
43.88	300
43.9	300
43.92	225
43.94	525
43.96	300
43.98	225
44	450
44.02	375
44.04	225
44.06	0
44.08	150
44.1	450
44.12	450
44.14	300
44.16	300
44.18	75
44.2	225
44.22	225
44.24	375
44.26	300
44.28	150
44.3	675
44.32	675
44.34	525
44.36	75
44.38	450
44.4	525
44.42	375
44.44	150
44.46	225
44.48	675
44.5	375
44.52	750
44.54	0
44.56	300
44.58	450
44.6	300
44.62	300
44.64	300
44.66	525
44.68	525
44.7	600
44.72	450
44.74	600
44.76	750
44.78	300
44.8	75
44.82	375
44.84	225
44.86	375
44.88	675
44.9	675
44.92	600
44.94	300
44.96	225
44.98	375
45	300
45.02	300
45.04	525
45.06	300
45.08	300
45.1	300
45.12	525
45.14	1050
45.16	825
45.18	225
45.2	600
45.22	450
45.24	150
45.26	300
45.28	675
45.3	225
45.32	375
45.34	450
45.36	375
45.38	225
45.4	450
45.42	450
45.44	375
45.46	375
45.48	300
45.5	750
45.52	450
45.54	150
45.56	375
45.58	75
45.6	600
45.62	450
45.64	375
45.66	750
45.68	450
45.7	225
45.72	600
45.74	600
45.76	150
45.78	300
45.8	300
45.82	225
45.84	225
45.86	75
45.88	525
45.9	375
45.92	450
45.94	375
45.96	675
45.98	225
46	300
46.02	525
46.04	300
46.06	450
46.08	375
46.1	600
46.12	675
46.14	375
46.16	300
46.18	450
46.2	300
46.22	375
46.24	300
46.26	450
46.28	750
46.3	150
46.32	225
46.34	375
46.36	300
46.38	525
46.4	900
46.42	450
46.44	225
46.46	450
46.48	300
46.5	525
46.52	675
46.54	675
46.56	525
46.58	150
46.6	150
46.62	300
46.64	375
46.66	600
46.68	600
46.7	675
46.72	600
46.74	600
46.76	375
46.78	150
46.8	300
46.82	300
46.84	225
46.86	450
46.88	300
46.9	375
46.92	300
46.94	75
46.96	300
46.98	375
47	300
47.02	225
47.04	225
47.06	375
47.08	600
47.1	225
47.12	375
47.14	225
47.16	75
47.18	150
47.2	225
47.22	450
47.24	450
47.26	300
47.28	300
47.3	450
47.32	375
47.34	75
47.36	450
47.38	375
47.4	300
47.42	150
47.44	450
47.46	525
47.48	525
47.5	375
47.52	750
47.54	525
47.56	450
47.58	225
47.6	450
47.62	225
47.64	150
47.66	825
47.68	300
47.7	150
47.72	300
47.74	300
47.76	375
47.78	450
47.8	525
47.82	300
47.84	150
47.86	225
47.88	150
47.9	150
47.92	375
47.94	525
47.96	1050
47.98	600
48	375
48.02	375
48.04	375
48.06	225
48.08	450
48.1	225
48.12	900
48.14	300
48.16	375
48.18	450
48.2	525
48.22	675
48.24	450
48.26	375
48.28	450
48.3	450
48.32	450
48.34	450
48.36	300
48.38	375
48.4	450
48.42	375
48.44	900
48.46	525
48.48	450
48.5	525
48.52	450
48.54	75
48.56	300
48.58	225
48.6	375
48.62	300
48.64	600
48.66	450
48.68	675
48.7	450
48.72	600
48.74	225
48.76	525
48.78	450
48.8	525
48.82	225
48.84	375
48.86	600
48.88	600
48.9	450
48.92	825
48.94	675
48.96	600
48.98	300
49	150
49.02	300
49.04	300
49.06	150
49.08	375
49.1	225
49.12	300
49.14	750
49.16	600
49.18	675
49.2	675
49.22	825
49.24	525
49.26	450
49.28	525
49.3	525
49.32	450
49.34	450
49.36	450
49.38	675
49.4	375
49.42	225
49.44	450
49.46	750
49.48	300
49.5	150
49.52	300
49.54	525
49.56	525
49.58	675
49.6	150
49.62	300
49.64	525
49.66	450
49.68	525
49.7	375
49.72	300
49.74	225
49.76	600
49.78	600
49.8	825
49.82	375
49.84	450
49.86	525
49.88	525
49.9	150
49.92	150
49.94	300
49.96	750
49.98	450
50	600
50.02	675
50.04	225
50.06	225
50.08	300
50.1	450
50.12	600
50.14	300
50.16	225
50.18	300
50.2	300
50.22	375
50.24	300
50.26	75
50.28	225
50.3	300
50.32	600
50.34	225
50.36	150
50.38	150
50.4	300
50.42	150
50.44	225
50.46	150
50.48	150
50.5	225
50.52	525
50.54	225
50.56	225
50.58	375
50.6	225
50.62	600
50.64	750
50.66	600
50.68	375
50.7	675
50.72	375
50.74	225
50.76	75
50.78	525
50.8	225
50.82	525
50.84	300
50.86	300
50.88	600
50.9	225
50.92	225
50.94	375
50.96	300
50.98	375
51	450
51.02	375
51.04	75
51.06	150
51.08	150
51.1	225
51.12	375
51.14	375
51.16	300
51.18	450
51.2	375
51.22	75
51.24	300
51.26	525
51.28	525
51.3	450
51.32	225
51.34	375
51.36	375
51.38	150
51.4	375
51.42	375
51.44	300
51.46	450
51.48	300
51.5	225
51.52	225
51.54	150
51.56	150
51.58	375
51.6	450
51.62	375
51.64	375
51.66	450
51.68	150
51.7	75
51.72	300
51.74	300
51.76	450
51.78	450
51.8	750
51.82	300
51.84	150
51.86	225
51.88	300
51.9	600
51.92	450
51.94	375
51.96	300
51.98	525
52	675
52.02	825
52.04	675
52.06	300
52.08	450
52.1	225
52.12	375
52.14	375
52.16	225
52.18	750
52.2	150
52.22	375
52.24	525
52.26	375
52.28	225
52.3	525
52.32	675
52.34	375
52.36	375
52.38	225
52.4	375
52.42	375
52.44	375
52.46	150
52.48	525
52.5	525
52.52	525
52.54	600
52.56	300
52.58	225
52.6	300
52.62	600
52.64	525
52.66	450
52.68	225
52.7	225
52.72	225
52.74	675
52.76	675
52.78	525
52.8	450
52.82	450
52.84	375
52.86	300
52.88	525
52.9	375
52.92	225
52.94	450
52.96	600
52.98	525
53	675
53.02	600
53.04	450
53.06	600
53.08	600
53.1	525
53.12	375
53.14	675
53.16	750
53.18	975
53.2	600
53.22	525
53.24	450
53.26	300
53.28	450
53.3	525
53.32	600
53.34	450
53.36	525
53.38	450
53.4	600
53.42	750
53.44	600
53.46	450
53.48	600
53.5	675
53.52	300
53.54	675
53.56	900
53.58	825
53.6	450
53.62	825
53.64	300
53.66	150
53.68	300
53.7	675
53.72	600
53.74	675
53.76	375
53.78	225
53.8	450
53.82	375
53.84	675
53.86	600
53.88	525
53.9	300
53.92	225
53.94	150
53.96	375
53.98	225
54	525
54.02	450
54.04	675
54.06	1050
54.08	375
54.1	300
54.12	300
54.14	375
54.16	525
54.18	450
54.2	300
54.22	300
54.24	300
54.26	300
54.28	300
54.3	375
54.32	375
54.34	300
54.36	450
54.38	600
54.4	225
54.42	300
54.44	375
54.46	150
54.48	375
54.5	450
54.52	675
54.54	300
54.56	375
54.58	675
54.6	300
54.62	600
54.64	600
54.66	825
54.68	375
54.7	375
54.72	300
54.74	600
54.76	525
54.78	375
54.8	450
54.82	600
54.84	450
54.86	450
54.88	375
54.9	450
54.92	525
54.94	750
54.96	675
54.98	300
55	450
55.02	450
55.04	450
55.06	600
55.08	375
55.1	450
55.12	525
55.14	750
55.16	225
55.18	450
55.2	450
55.22	225
55.24	150
55.26	225
55.28	75
55.3	450
55.32	600
55.34	150
55.36	675
55.38	150
55.4	750
55.42	525
55.44	300
55.46	525
55.48	225
55.5	225
55.52	225
55.54	525
55.56	450
55.58	150
55.6	450
55.62	300
55.64	450
55.66	225
55.68	450
55.7	600
55.72	225
55.74	75
55.76	300
55.78	225
55.8	75
55.82	300
55.84	525
55.86	675
55.88	225
55.9	225
55.92	150
55.94	150
55.96	450
55.98	450
56	75
56.02	375
56.04	300
